gesture,sample_id,timestamp,aX,aY,aZ,gX,gY,gZ,temp
idle,1767714402980,4993,0.072,0.007,0.927,18.588,2.802,0.611,23.31
idle,1767714402980,5008,0.076,0.005,0.929,18.504,3.145,0.634,23.26
idle,1767714402980,5023,0.077,0.007,0.925,18.580,3.153,0.710,23.26
idle,1767714402980,5039,0.072,0.006,0.926,18.374,3.115,0.702,23.21
idle,1767714402980,5055,0.071,0.011,0.933,18.489,2.924,0.863,23.31
idle,1767714402980,5070,0.073,0.010,0.931,18.458,2.962,0.656,23.26
idle,1767714402980,5086,0.073,0.010,0.931,18.443,2.840,0.718,23.35
idle,1767714402980,5101,0.072,0.009,0.927,18.573,2.817,0.595,23.31
idle,1767714402980,5116,0.078,0.009,0.935,18.740,3.038,0.802,23.21
idle,1767714402980,5132,0.077,0.006,0.925,18.450,3.084,0.603,23.26
idle,1767714402980,5148,0.079,0.009,0.927,18.458,2.947,0.626,23.31
idle,1767714402980,5164,0.075,0.012,0.923,18.557,2.924,0.634,23.31
idle,1767714402980,5179,0.074,0.007,0.933,18.771,2.802,0.634,23.17
idle,1767714402980,5194,0.076,0.007,0.927,18.534,2.939,0.695,23.35
idle,1767714402980,5210,0.072,0.015,0.935,18.359,3.046,0.702,23.21
idle,1767714402980,5225,0.072,0.006,0.927,18.527,2.985,0.702,23.31
idle,1767714402980,5241,0.078,0.005,0.935,18.450,3.176,0.634,23.26
idle,1767714402980,5257,0.068,0.014,0.921,18.573,3.046,0.718,23.26
idle,1767714402980,5272,0.073,0.009,0.933,18.649,2.916,0.679,23.21
idle,1767714402980,5287,0.071,0.005,0.927,18.595,3.023,0.649,23.31
idle,1767714402980,5303,0.081,0.007,0.929,18.656,2.977,0.679,23.26
idle,1767714402980,5318,0.078,0.010,0.923,18.611,3.137,0.595,23.26
idle,1767714402980,5335,0.080,0.008,0.928,18.435,3.214,0.588,23.21
idle,1767714402980,5350,0.073,0.008,0.928,18.656,2.992,0.763,23.26
idle,1767714402980,5365,0.075,0.007,0.934,18.718,2.969,0.565,23.26
idle,1767714402980,5381,0.073,0.008,0.926,18.511,3.183,0.718,23.31
idle,1767714402980,5396,0.075,0.005,0.920,18.626,2.901,0.603,23.31
idle,1767714402980,5411,0.077,0.011,0.934,18.641,2.977,0.565,23.26
idle,1767714402980,5428,0.082,0.009,0.942,18.550,2.840,0.710,23.26
idle,1767714402980,5443,0.073,0.011,0.925,18.542,3.153,0.611,23.21
idle,1767714402980,5458,0.073,0.009,0.939,18.366,2.939,0.611,23.17
idle,1767714402980,5474,0.079,0.010,0.930,18.557,3.069,0.679,23.26
idle,1767714402980,5489,0.077,0.010,0.936,18.710,3.000,0.588,23.31
